id,speed(m/s)
2022_14_14_38-Jan-20.wav,6.39
2022_14_14_41-Jan-20.wav,6.92
2022_14_14_44-Jan-20.wav,5.04
2022_14_14_47-Jan-20.wav,6.68
2022_14_14_51-Jan-20.wav,8.23
2022_14_14_54-Jan-20.wav,8.5
2022_14_14_57-Jan-20.wav,8.49
2022_14_15_00-Jan-20.wav,8.61
2022_14_15_04-Jan-20.wav,8.41
2022_14_15_07-Jan-20.wav,8.11
2022_14_15_10-Jan-20.wav,4.44
2022_14_15_13-Jan-20.wav,4.85
2022_14_15_16-Jan-20.wav,4.87
2022_14_15_20-Jan-20.wav,2.06
2022_14_15_23-Jan-20.wav,2.74
2022_14_15_26-Jan-20.wav,2.27
2022_14_15_29-Jan-20.wav,1.17
2022_14_15_33-Jan-20.wav,2.5
2022_14_15_36-Jan-20.wav,2.62
2022_14_15_39-Jan-20.wav,2.75
2022_14_15_42-Jan-20.wav,3.11
2022_14_15_45-Jan-20.wav,4.22
2022_14_15_49-Jan-20.wav,4.9
2022_14_15_52-Jan-20.wav,5.18
2022_14_15_55-Jan-20.wav,2.9
2022_14_15_58-Jan-20.wav,3.51
2022_14_16_02-Jan-20.wav,4.37
2022_14_16_05-Jan-20.wav,3.3
2022_14_16_08-Jan-20.wav,2.76
2022_14_16_11-Jan-20.wav,4.04
2022_14_16_14-Jan-20.wav,5.51
2022_14_16_18-Jan-20.wav,6.61
2022_14_16_21-Jan-20.wav,7.16
2022_14_16_24-Jan-20.wav,6.91
2022_14_16_27-Jan-20.wav,6.86
2022_14_16_31-Jan-20.wav,2.76
2022_14_16_34-Jan-20.wav,2.85
2022_14_16_37-Jan-20.wav,5.2
2022_14_16_40-Jan-20.wav,5.75
2022_14_16_43-Jan-20.wav,4.8
2022_14_16_47-Jan-20.wav,4.0
2022_14_16_50-Jan-20.wav,4.83
2022_14_16_53-Jan-20.wav,3.24
2022_14_16_56-Jan-20.wav,4.51
2022_14_17_00-Jan-20.wav,3.91
2022_14_17_03-Jan-20.wav,3.7
2022_14_17_06-Jan-20.wav,3.97
2022_14_17_09-Jan-20.wav,4.72
2022_14_17_12-Jan-20.wav,4.55
2022_14_17_16-Jan-20.wav,5.83
2022_14_17_19-Jan-20.wav,5.3
2022_14_18_20-Jan-20.wav,1.62
2022_14_18_23-Jan-20.wav,0.5
2022_14_18_27-Jan-20.wav,0.26
2022_14_18_30-Jan-20.wav,2.33
2022_14_18_33-Jan-20.wav,5.39
2022_14_18_36-Jan-20.wav,10.05
2022_14_18_40-Jan-20.wav,8.63
2022_14_18_43-Jan-20.wav,9.07
2022_14_18_46-Jan-20.wav,9.28
2022_14_18_49-Jan-20.wav,7.16
2022_14_18_52-Jan-20.wav,7.07
2022_14_18_56-Jan-20.wav,9.1
2022_14_18_59-Jan-20.wav,9.62
2022_14_19_02-Jan-20.wav,10.2
2022_14_19_05-Jan-20.wav,9.11
2022_14_19_09-Jan-20.wav,4.59
2022_14_19_12-Jan-20.wav,5.73
2022_14_19_15-Jan-20.wav,9.15
2022_14_19_18-Jan-20.wav,10.16
2022_14_19_21-Jan-20.wav,9.04
2022_14_19_25-Jan-20.wav,9.79
2022_14_19_28-Jan-20.wav,9.42
2022_14_19_31-Jan-20.wav,9.7
2022_14_19_34-Jan-20.wav,9.91
2022_14_19_38-Jan-20.wav,10.2
2022_14_19_41-Jan-20.wav,10.73
2022_14_19_44-Jan-20.wav,11.45
2022_14_19_47-Jan-20.wav,10.88
2022_14_19_50-Jan-20.wav,8.71
2022_14_19_54-Jan-20.wav,4.02
2022_14_19_57-Jan-20.wav,0.99
2022_14_20_00-Jan-20.wav,0.91
2022_14_20_03-Jan-20.wav,1.01
2022_14_20_55-Jan-20.wav,5.74
2022_14_20_58-Jan-20.wav,8.23
2022_14_21_01-Jan-20.wav,12.17
2022_14_21_05-Jan-20.wav,14.68
2022_14_21_08-Jan-20.wav,14.86
2022_14_21_11-Jan-20.wav,14.29
2022_14_21_14-Jan-20.wav,13.99
2022_14_21_17-Jan-20.wav,14.47
2022_14_21_21-Jan-20.wav,14.9
2022_14_21_24-Jan-20.wav,14.93
2022_14_21_27-Jan-20.wav,15.37
2022_14_21_30-Jan-20.wav,15.79
2022_14_21_34-Jan-20.wav,17.01
2022_14_21_37-Jan-20.wav,16.9
2022_14_21_40-Jan-20.wav,17.0
2022_14_21_43-Jan-20.wav,17.08
2022_14_21_46-Jan-20.wav,16.91
2022_14_21_50-Jan-20.wav,17.01
2022_14_21_53-Jan-20.wav,17.08
2022_14_21_56-Jan-20.wav,17.01
2022_14_21_59-Jan-20.wav,16.99
2022_14_22_03-Jan-20.wav,16.96
2022_14_22_06-Jan-20.wav,16.8
2022_14_22_09-Jan-20.wav,17.16
2022_14_22_12-Jan-20.wav,16.79
2022_14_22_15-Jan-20.wav,16.86
2022_14_22_19-Jan-20.wav,17.01
2022_14_22_22-Jan-20.wav,16.94
2022_14_22_25-Jan-20.wav,16.89
2022_14_22_28-Jan-20.wav,16.97
2022_14_22_32-Jan-20.wav,17.02
2022_14_22_35-Jan-20.wav,17.03
2022_14_22_38-Jan-20.wav,17.33
2022_14_22_41-Jan-20.wav,17.4
2022_14_22_44-Jan-20.wav,17.06
2022_14_22_48-Jan-20.wav,16.77
2022_14_22_51-Jan-20.wav,16.85
2022_14_22_54-Jan-20.wav,16.74
2022_14_22_57-Jan-20.wav,16.84
2022_14_23_01-Jan-20.wav,17.01
2022_14_23_04-Jan-20.wav,16.97
2022_14_23_07-Jan-20.wav,16.63
2022_14_23_10-Jan-20.wav,16.38
2022_14_23_13-Jan-20.wav,16.82
2022_14_23_17-Jan-20.wav,16.93
2022_14_23_20-Jan-20.wav,16.94
2022_14_23_23-Jan-20.wav,16.8
2022_14_23_26-Jan-20.wav,16.81
2022_14_23_30-Jan-20.wav,16.96
2022_14_23_33-Jan-20.wav,16.25
2022_14_23_36-Jan-20.wav,12.86
2022_14_23_39-Jan-20.wav,9.39
2022_14_23_42-Jan-20.wav,6.78
2022_14_23_46-Jan-20.wav,2.29
2022_14_24_15-Jan-20.wav,12.72
2022_14_24_18-Jan-20.wav,15.72
2022_14_24_21-Jan-20.wav,17.13
2022_14_24_24-Jan-20.wav,17.35
2022_14_24_28-Jan-20.wav,16.96
2022_14_24_31-Jan-20.wav,17.06
2022_14_24_34-Jan-20.wav,17.1
2022_14_24_37-Jan-20.wav,16.75
2022_14_24_40-Jan-20.wav,14.79
2022_14_24_44-Jan-20.wav,14.05
2022_14_24_47-Jan-20.wav,14.46
2022_14_24_50-Jan-20.wav,13.13
2022_14_24_53-Jan-20.wav,12.05
2022_14_24_57-Jan-20.wav,13.75
2022_14_25_00-Jan-20.wav,14.38
2022_14_25_03-Jan-20.wav,15.08
2022_14_25_06-Jan-20.wav,14.37
2022_14_25_09-Jan-20.wav,13.63
2022_14_25_13-Jan-20.wav,13.34
2022_14_25_16-Jan-20.wav,13.56
2022_14_25_19-Jan-20.wav,12.22
2022_14_25_22-Jan-20.wav,10.14
2022_14_25_26-Jan-20.wav,9.0
2022_14_31_58-Jan-20.wav,22.24
2022_14_32_01-Jan-20.wav,22.21
2022_14_32_04-Jan-20.wav,21.63
2022_14_32_07-Jan-20.wav,21.02
2022_14_32_10-Jan-20.wav,20.61
2022_14_32_14-Jan-20.wav,17.76
2022_14_32_17-Jan-20.wav,16.03
2022_14_32_20-Jan-20.wav,11.49
2022_14_32_23-Jan-20.wav,7.92
2022_14_32_27-Jan-20.wav,2.14
2022_14_32_30-Jan-20.wav,0.44
2022_14_33_24-Jan-20.wav,13.42
2022_14_33_28-Jan-20.wav,13.53
2022_14_33_31-Jan-20.wav,13.95
2022_14_33_34-Jan-20.wav,14.23
2022_14_33_37-Jan-20.wav,14.85
2022_14_33_41-Jan-20.wav,14.9
2022_14_33_44-Jan-20.wav,14.23
2022_14_33_47-Jan-20.wav,14.83
2022_14_33_50-Jan-20.wav,13.35
2022_14_33_53-Jan-20.wav,11.25
2022_14_33_57-Jan-20.wav,7.73
2022_14_34_00-Jan-20.wav,6.7
2022_14_34_03-Jan-20.wav,9.61
2022_14_34_06-Jan-20.wav,12.06
2022_14_34_10-Jan-20.wav,15.52
2022_14_34_13-Jan-20.wav,15.08
2022_14_34_16-Jan-20.wav,14.46
2022_14_34_19-Jan-20.wav,14.58
2022_14_34_23-Jan-20.wav,14.75
2022_14_34_26-Jan-20.wav,14.58
2022_14_34_29-Jan-20.wav,14.73
2022_14_34_32-Jan-20.wav,13.8
2022_14_34_35-Jan-20.wav,14.74
2022_14_34_39-Jan-20.wav,14.97
2022_14_34_42-Jan-20.wav,15.29
2022_14_34_45-Jan-20.wav,15.39
2022_14_34_48-Jan-20.wav,14.56
2022_14_34_52-Jan-20.wav,13.62
2022_14_34_55-Jan-20.wav,14.22
2022_14_34_58-Jan-20.wav,14.52
2022_14_35_01-Jan-20.wav,15.01
2022_14_35_04-Jan-20.wav,14.6
2022_14_35_08-Jan-20.wav,14.11
2022_14_35_11-Jan-20.wav,14.07
2022_14_35_14-Jan-20.wav,14.48
2022_14_35_17-Jan-20.wav,14.99
2022_14_35_27-Jan-20.wav,13.5
2022_14_35_30-Jan-20.wav,13.01
2022_14_35_33-Jan-20.wav,12.83
2022_14_35_37-Jan-20.wav,13.93
2022_14_35_40-Jan-20.wav,13.71
2022_14_35_43-Jan-20.wav,15.58
2022_14_35_46-Jan-20.wav,14.99
2022_14_35_49-Jan-20.wav,13.31
2022_14_35_53-Jan-20.wav,13.48
2022_14_43_01-Jan-20.wav,10.03
2022_14_43_05-Jan-20.wav,12.68
2022_14_43_08-Jan-20.wav,12.75
2022_14_43_11-Jan-20.wav,12.42
2022_14_43_14-Jan-20.wav,11.39
2022_14_43_18-Jan-20.wav,12.31
2022_14_43_21-Jan-20.wav,14.08
2022_14_43_24-Jan-20.wav,15.08
2022_14_43_27-Jan-20.wav,13.53
2022_14_43_30-Jan-20.wav,12.88
2022_14_43_34-Jan-20.wav,12.06
2022_14_43_37-Jan-20.wav,12.08
2022_14_43_40-Jan-20.wav,13.17
2022_14_43_43-Jan-20.wav,12.47
2022_14_43_47-Jan-20.wav,14.66
2022_14_43_50-Jan-20.wav,15.34
2022_14_43_53-Jan-20.wav,14.91
2022_14_43_56-Jan-20.wav,13.84
2022_14_43_59-Jan-20.wav,13.34
2022_14_44_03-Jan-20.wav,11.98
2022_14_44_06-Jan-20.wav,12.05
2022_14_44_09-Jan-20.wav,12.29
2022_14_44_12-Jan-20.wav,12.71
2022_14_44_15-Jan-20.wav,14.89
2022_14_44_19-Jan-20.wav,15.63
2022_14_44_22-Jan-20.wav,16.01
2022_14_44_25-Jan-20.wav,15.66
2022_14_44_28-Jan-20.wav,14.76
2022_14_44_32-Jan-20.wav,14.94
2022_14_44_35-Jan-20.wav,15.25
2022_14_44_38-Jan-20.wav,15.03
2022_14_44_41-Jan-20.wav,11.26
2022_14_44_44-Jan-20.wav,9.93
2022_14_44_48-Jan-20.wav,12.95
2022_14_44_51-Jan-20.wav,14.64
2022_14_44_54-Jan-20.wav,14.5
2022_14_44_57-Jan-20.wav,15.14
2022_14_45_01-Jan-20.wav,16.54
2022_14_45_04-Jan-20.wav,13.25
2022_14_45_07-Jan-20.wav,11.14
2022_14_45_10-Jan-20.wav,10.58
2022_14_45_13-Jan-20.wav,7.4
2022_14_47_10-Jan-20.wav,3.87
2022_14_47_14-Jan-20.wav,4.41
2022_14_47_17-Jan-20.wav,6.02
2022_14_47_20-Jan-20.wav,7.98
2022_14_47_23-Jan-20.wav,10.07
2022_14_47_26-Jan-20.wav,12.11
2022_14_47_30-Jan-20.wav,13.56
2022_14_47_33-Jan-20.wav,13.62
2022_14_47_36-Jan-20.wav,14.05
2022_14_47_39-Jan-20.wav,14.25
2022_14_47_42-Jan-20.wav,12.76
2022_14_47_46-Jan-20.wav,11.37
2022_14_47_49-Jan-20.wav,13.14
2022_14_47_52-Jan-20.wav,14.1
2022_14_47_55-Jan-20.wav,14.22
2022_14_47_59-Jan-20.wav,13.87
2022_14_48_02-Jan-20.wav,14.66
2022_14_48_05-Jan-20.wav,15.48
2022_14_48_08-Jan-20.wav,16.15
2022_14_48_11-Jan-20.wav,16.44
2022_14_48_15-Jan-20.wav,15.14
2022_14_48_18-Jan-20.wav,13.98
2022_14_48_21-Jan-20.wav,13.23
2022_14_48_24-Jan-20.wav,13.1
2022_14_48_27-Jan-20.wav,13.99
2022_14_48_31-Jan-20.wav,13.53
2022_14_48_34-Jan-20.wav,14.65
2022_14_48_37-Jan-20.wav,15.48
2022_14_48_40-Jan-20.wav,16.35
2022_14_48_44-Jan-20.wav,15.79
2022_14_48_47-Jan-20.wav,14.15
2022_14_48_50-Jan-20.wav,12.96
2022_14_48_53-Jan-20.wav,12.53
2022_14_48_56-Jan-20.wav,12.99
2022_14_49_00-Jan-20.wav,12.18
2022_14_49_03-Jan-20.wav,12.79
2022_14_49_06-Jan-20.wav,12.4
2022_14_49_09-Jan-20.wav,11.71
2022_14_49_13-Jan-20.wav,11.23
2022_14_49_16-Jan-20.wav,11.44
2022_14_49_19-Jan-20.wav,13.0
2022_14_49_22-Jan-20.wav,14.17
2022_14_49_25-Jan-20.wav,12.73
2022_14_49_29-Jan-20.wav,11.74
2022_14_49_32-Jan-20.wav,11.45
2022_14_49_35-Jan-20.wav,13.82
2022_14_49_38-Jan-20.wav,16.67
2022_14_49_42-Jan-20.wav,18.76
2022_14_49_45-Jan-20.wav,19.53
2022_14_49_48-Jan-20.wav,20.11
2022_14_49_51-Jan-20.wav,20.39
2022_14_49_54-Jan-20.wav,20.49
2022_14_49_58-Jan-20.wav,20.25
2022_14_50_01-Jan-20.wav,18.79
2022_14_50_04-Jan-20.wav,17.97
2022_14_50_07-Jan-20.wav,18.82
2022_14_50_10-Jan-20.wav,14.9
2022_14_50_14-Jan-20.wav,8.86
2022_14_50_17-Jan-20.wav,10.03
2022_14_50_20-Jan-20.wav,12.4
2022_14_50_23-Jan-20.wav,15.27
2022_14_50_27-Jan-20.wav,15.13
2022_14_50_30-Jan-20.wav,15.39
2022_14_50_33-Jan-20.wav,16.49
2022_14_50_36-Jan-20.wav,12.37
2022_14_50_39-Jan-20.wav,9.99
2022_14_50_43-Jan-20.wav,7.37
2022_14_50_46-Jan-20.wav,3.91
2022_14_50_49-Jan-20.wav,3.51
2022_14_50_52-Jan-20.wav,3.01
2022_14_50_56-Jan-20.wav,2.83
2022_14_50_59-Jan-20.wav,1.54
2022_14_51_02-Jan-20.wav,0.0
2022_14_51_05-Jan-20.wav,0.0
2022_14_54_28-Jan-20.wav,4.87
2022_14_54_32-Jan-20.wav,8.23
2022_14_54_35-Jan-20.wav,9.88
2022_14_54_38-Jan-20.wav,10.25
2022_14_54_41-Jan-20.wav,10.7
2022_14_54_44-Jan-20.wav,11.07
2022_14_54_48-Jan-20.wav,10.65
2022_14_54_51-Jan-20.wav,10.36
2022_14_54_54-Jan-20.wav,10.42
2022_14_54_57-Jan-20.wav,11.22
2022_14_55_01-Jan-20.wav,10.83
